分野,単語,英語,意味
ストラテジ系,リテールサポート,,卸売業・メーカーが小売店の経営活動を支援することによって、自社との取引量の拡大につなげる手法・概念
ストラテジ系,ロイヤルティ,,特許権や著作権などの特定の権利を利用する者が、その所有者に対して支払う利用価値のこと
テクノロジ系,"・奇数パリティ
・偶数パリティ",,"・ビット列とパリティビットを合わせて""1""のビット数が`奇数`になるようにパリティビットを付加する方式
・ビット列とパリティビットを合わせて""1""のビット数が`偶数`になるようにパリティビットを付加する方式"
テクノロジ系,エキスパートシステム,,"1980年代の人工知能研究から生まれたコンピューターシステム。人間の専門家（エキスパート）の意思決定過程をコンピューター上で再現するもの
知能ベースを利用して推論エンジンで推論を行う"
テクノロジ系,ニューラルネットワーク,,脳k脳に見られるいくつかの特性を計算機上のシミュレーションによって表現することを目指した数学モデル
テクノロジ系,バーチャルリアリティ,,仮想現実。コンピューターなどによって作り出された世界をコンピューターグラフィックスなどを利用してユーザーに体験させる技術。単にコンピューターグラフィックスを見せるだけでなく、ユーザーが仮想世界に働かせることができ、人間の五感のいずれかにその反応が返ってくることで人工的な現実感を得ることができることが特徴
テクノロジ系,ファジィコンピューター,,通常の集合と異なり、点がある集合に「属する」「属さない」のほかにこの2つの「中間的な状態」を許容するというファジィ集合を利用したファジィ制御を取り入れたコンピューター
マネジメント系,インベントリ,Inventory,"英語で商品や財産などの目録、あるいは商品や財産の目録を作成する在庫調査やたな卸しを意味する語。情報工学においては企業などで使用されている、PC本体の機種、そこに搭載されているCPU、メモリー、ハードディスクなどの部品、印刷機（プリンター）、ネットワーク機器などに関する情報のことを指す。
インベントリ収集は、これらの情報を定期的にシステムから取得することを目的としてクライアント管理ツールなどに備わっている機能"
マネジメント系,エスカレーション,Escalation,段階的取扱い。システム利用者からの問い合わせに対して、一次担当者が対処できない場合に、より対処能力に優れた上位の組織や担当者、管理者などに依頼して対応を引き継ぐこと、または、このような情報連絡・伝達の仕組みのこと
マネジメント系,グラスシーリング,,ガラスの天井。本来は昇進に値する能力を有しながらも、性別や人種などの見えない壁を理由に組織内での昇進が阻まれている状態を示す言葉
マネジメント系,クラッシング,Crashing,メンバーの時間外勤務を増やしたり、業務内容に精通したメンバーを新たに増員したりする。優先的に資源を投入すべきスケジュールアクティビティ：クリティカルパス上のスケジュールアクティビティ
マネジメント系,クリティカルチェーン法,,クリティカルパス法をベースに人員・設備などのリソース制限の考慮をこわ得たスケジュール技法
マネジメント系,グループウェア,,組織内での情報の管理や共有にコンピューターネットワークを活用し、組織を効率的に運営することを目的としたソフトウェア。主な機能として、電子会議室、電子掲示板、スケジュール管理、会議室予約、文書共有、ワークフローシステム（電子決裁）がある
マネジメント系,コンティンジェンシープラン,Contingency Plan,システムが抱える潜在的なリスクが現実化した際に、組織やシステムが被る損害を最小限にとどめ、速やかにその緊急事態の克服を図るための手続きが記述された対応計画のこと。事態の回復をするコントロールなので復旧に該当する
マネジメント系,コンティンジェンシー計画,Contingency,プロジェクトが抱える潜在的なリスクが現実化した際にｍプロジェクトが被る損害を最小限にとどめ、速やかにその緊急事態の克服を図るための手続きが記述された対応計画のこと。既知のリスクに対する対応計画の一部として策定され、ある事象が起きた場合に限り使用するものなので、発動条件となる事象とその時実行する対応策を記述する
マネジメント系,スコープ,,"プロジェクトの要素成果物、除外事項オヨに制限条件

目的1：プロジェクトの目標、成果物、要求事項及び境界を明確にする
目的2：プロジェクトの目標や成果物などの変更によって生じる、プロジェクトの機会となる影響を最大化し、脅威となる影響を最小化する"
マネジメント系,ステークホルダー,Stakeholder,株主・経営者・顧客・取引先などの利害関係者
マネジメント系,データマイニング,,データベースに蓄積された情報を統計的・数学的な手法で分析
マネジメント系,デモグラフィック,,年齢・性別・職業・住所・家族構成など人口統計学的属性で分類して行う分析のこと。新規顧客にこの分析を適用することで、傾向を把握することができる
マネジメント系,デルファイ法,Delphi,`複数の専門家から個別に意見の収集を行い`、得られた意見の集約をフィードバックするということを繰り返して、最終的に`意見の収束をしていく`手法
マネジメント系,フォローアップ,Follow up,監査対象部門による改善の実施状況をモニタリングし、システム監査人の立場で`改善の実現を支援`する
マネジメント系,ブレーンストーミング,Bbrainstorming,何人かが集まって、他人のアイディアを批判することなく、自由に多くのアイディアを出し合う
マネジメント系,ベンチマーキング,Benchmarking,自社の製品・サービスなどを定量的・定性的に測定し、それを同じプロセスに関する業界内外の成功事例（ベストプラクティス）と比較することで、自社のいい点や悪い点を評価する分析手法。分析によりベストプラクティスとの差異が明らかになった後は、ベストプラクティスを参考にして目標や実行計画を設定することで業務改善を進めている
マネジメント系,ホワイトカラーエグゼンプション,,ホワイトカラー労働者に対して労働法で定められた労働時間の規制の適用を緩和し、時間ではなく成果に対する報酬支払とすること、またはその制度を意味する。日本でも、高度プロフェッショナル制度として注目されている
マネジメント系,モンテカルロ法,,プロジェクトコストや所要期間の確率分布をもとに乱数を用いて半福的にシミュレーションを行うことで、コストや所要日数を予測する手法
マネジメント系,ラーニングカーブ,,経験曲線。同一製品の累積生産量が増えるにつれて、単位当たりの費用が低下していくことを示す右下がりの曲線
マネジメント系,ワークアラウンド,,回避策
マネジメント系,ワークライフバランス,,仕事と仕事から離れた個人の生活の両方について、どちらかが犠牲になることなく、それぞれをバランスよく充実させていこうという考え方
マネジメント系,特許ポートフォリオ,,組織が保有または出願している特許群を整理してまとめたもの。特許ポートフォリオを分析することで、今後取得すべき特許を明らかにしたり、知的財産戦略に関する意思決定に役立てたりすることができる
,ファイブフォース,,"業界の収益性を決める5つの競争要因から、業界の構造分析をおこなう手法。
"
ITパスポート,クラウドコンピューティング,,目的のコンピューター処理を行うために、自社のシステム資源を使う代わりにインターネット上のコンピューター資源やサービスを利用するシステムの形態
ITパスポート,情報リテラシー,,"情報（information）、識字（literacy）
探索・収集
整理・分析・評価
表現・発信

情報を活用する能力のこと"
ストラテジ系,イノベーションのジレンマ,,優良な大企業が、革新的な技術の追求よりも、既存技術の向上でシェアを確保することに注力してしまい、結果的に市場でのシェアの確保に失敗する現象
ストラテジ系,カニバリゼーション,,自社の既存商品がシェアを占めている市場に、自社の新商品を導入することで、既存商品のシェアを奪ってしまう現象
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
