分野,単語,意味の違い
ストラテジ系,"【法律】
マイナンバー法","社会保障、税、災害対策
行政手続きにおける特定の個人を識別するための番号の量などに関する法律"
ストラテジ系,"【法律】
個人情報保護法","個人情報取扱業者を「個人情報データベースなどを事業の用に供している者」と定義している。
個人情報をまとめて検索可能としたものを業務に使用しているすべての組織が、個人情報取扱事業者として扱われる。ただし、国の機関、地方公共団体、独立行政法人、地方独立行政法人については、この規定の対象外となっている。銀行などは対象内"
ストラテジ系,"【法律】
産業財産権",意匠権、実用新案権、商標権、特許権
ストラテジ系,"【法律】
不正競争防止法",営業秘密：秘密として管理されている生産方法、販売方法その他の事業活動に有用な技術上又は営業上の情報であって公然と知らされていないものをいう‘
ストラテジ系,"【法律】
法律","・刑法
　・168条の2、168条の3の「不正指令電磁的記録に関する罪」（通称、ウィルス作成罪）：住所や氏名などの個人情報を不正に詐取するプログラムを作成して配布する

・著作権
　・公衆送信権：商用の音楽コンテンツを、ブログで不特定多数がダウンロードできる状態にする

・電子計算機損壊等妨害罪：特定のWebサイトに対する大量のアクセスを扇動する書き込みを、電子掲示板に投稿する

・不正アクセス禁止法：他人のIDとパスワードを、本人に無断で第三者に口頭で伝える。ネットワーク接続∩アクセス制御機能のコンピューターは不正アクセス行為の対象になり得る（ITパスポート・平成30年秋問1）

・製造物責任法（PL法）：製造物の安全性上の欠陥により消費者側に被害が生じた際に製造業者の損害賠償の責任について定めることで、被害者の保護を目的とした法律。ソフトウェアは無体物であり対象外だが、この場合は欠陥んがある部品（ソフトウェア）を含むハードウェアに欠陥があるものとされるため対象となる

・不正競争防止法：事業者間の不正な競争などを確保するため、営業秘密侵害、原産地偽装、コピー商品の販売などの不正競争を規制する法律。この法律では、公正さに欠ける不当な手段で市場競争を行う行為を不正競争として規制している"
ストラテジ系,AI,"・RPA、Robotic Process Automation：作成したシナリオにも続いて動作するソフトウェアロボットによって業務を自動化する

・生成AI：自然言語などで与えられた指示（プロンプト）に基づいて、利用者の要求に沿った新しいコンテンツを創作する。自然言語だけではなく画像や音声などの複数の形式の同時に処理できる、マルチモーダル化も進展している

・予測AI：過去のデータから項目間の相関などを学習したモデルを用いて、現在データから将来の値を予測して出力する"
ストラテジ系,"アクティビティ図
オブジェクト図
クラス図
コンポーネント図",
ストラテジ系,イノベーション,"* `プロダクトイノベーション`：`製品改革`。革新的な新商品を開発するなど、`製品そのものの技術革新`。共同プロジェクトを設置して新規製品を開発する。例：社内の製造部と企画部で共同プロジェクトを設置し、新規製品を開発する。技術主導型、ニーズ主導型、類似品型、商品コンセプト型などのアプローチ法がある

* `プロセスイノベーション`：開発や製造、物流などの`プロセスの技術革新`

* `インクリメンタルイノベーション`：既存製品の部品改良など小さな改善をする技術革新

* `ラディカルイノベーション`：経営構造など根本的な部分の改革を必要とする技術革新

* `オープンイノベーション`：社外からアイデアを募集し、新サービスの開発に活用する

* 破壊的イノベーション：技術革新によって、後発製品が先発製品の市場を衰退させること

* `コーポレートブランディング`：ブランド向上を図るために、自社製品の革新性についてWebに掲載する"
ストラテジ系,オンプレミス,"1. `従来型オンプレミス`：`自社施設内`で`自社サーバー`を運用
2. `ハウジングサービス`：`データセンター`に`自社サーバーを預けて`運用
3. `ホスティングサービス`：サービス事業者から`サーバーをレンタル`"
ストラテジ系,グリーン,"・グリーン投資：環境保全活動を実施している企業がその活動内容を広くアピールし、投資家から環境保全のための資金を募ることである

・環境ラベリング制度の国際規格ISO14020シリーズ：第三者が一定の基準に基づいて環境保全に資する製品を認定する、エコマークなどの環境表示に関する国際規格のことである

・グリーン電力証書：太陽光、バイオマス、風力、地熱などの自然エネルギーによって発電されたグリーン電力を、市場で取引可能にする証書のことである

・グリーン調達：品質や価格の要件を満たすだけでなく、環境負荷が小さい製品やサービスを、環境負荷の低減に努める事業者から優先して購入することである"
ストラテジ系,ソフトウェア形態,"・パッケージソフトウェア：内容が記録メディアに記録され、店頭で包装された状態で販売されているソフトウェアの総称

・シェアウェア：一定の試用期間の間は無料で利用することができ、継続して利用する場合には料金を支払うことで権利を得るライセンス形態

・ユーティリティソフトウェア：Utility：役立つもの、有用性、効用、公益などの意味である特定の機能を実現するために設計されたソフトウェアのこと。圧縮ソフトやウィルス対策ソフト、ファイル操作を行うソフトなどがある"
ストラテジ系,ソリューションビジネス,"・`IaaS`（`インフラ`）（Infrastructure as a service）：土地。`システム構築に必要な基盤のみ提供`
・`PaaS`（`プラットフォーム`）（Platform as a service）：家を借りる（家具家電付いてない）。アプリ開発のための開発環境をまとめて提供するサービス
・`SaaS`（`ソフトウェア`）（Software as a Service）：土地と家と家の中の細かい家電まですべてまると借りるイメージ。`アプリケーションまでの全サービスを提供`。SaaSは使用量やプランによって金額が決まる

・ASP：Application Service Provider。インターネットを通じて、主に業務用のソフトウェアやアプリケーションの利用環境を顧客に提供する事業者。ソフトウェアをダウンロードさせる対価としてライセンス料を課金する

・ISP：インターネット接続業者。インターネットへの接続サービスを提供する。

・MSP：Management Service Provider。マネジメントサービスプロバイダ。サービス提供事業者が、ほかの企業の情報システムに関する企業や開発、運用、管理、保守業務を行うサービス

・`アウトソーシング`（BPO）：業務に`必要な人`や`ノウハウ`を`外部から調達`する手法。業務委託料を課金する

・クラウドソーシング、Crowd Sourcing：マッチングを行うWebサイトを通じ、インターネット上の不特定多数の人に仕事を依頼できるサービス"
ストラテジ系,データ,"・データモデリング：E-R図やUMLを用いて業務プロセスや業務データを構造化・組織化して表現すること

・データプロセッシング：コンピューターでデータを処理し、有用な結果を得る操作

・データウェアハウス：企業内に散在しているデータの有効活用を目的に、過去から現在までの基幹系データベースや外部データベースを整理・統合した効果的な戦略的意思決定を支援するためのデータベース

・データマイニング：データウェアハウスに蓄積されている大量の生データから、統計学的手法や数学的手法を用いて今まで知られていなかったデータの規則や因果関係っを見つけ出す手法

・データ中心アプローチ：対象業務のモデル化を行う時に、データが最も安定した情報資源であることに着目し、データ側からシステムの設計を行う手法"
ストラテジ系,プライバシー,"・プライバシーバイデザイン（PBD）：システムの企画・設定の段階から、個人情報保護の仕組みを盛り込む設計手法
・情報セキュリティ方針：組織のトップが、情報セキュリティに対する考え方や取り組む姿勢を組織内外に宣言するもの
・セキュリティレベル：システムに求められるセキュリティ要件のレベル
・プライバシーマーク：個人情報保護体制を適切に設備していると認められた事業者が得られるもの"
ストラテジ系,フリー,"・フリーウェア：利用者が無償で使用できることをお前提としたソフトウェア。無料で配布した後、試用期間後の利用や機能強化には料金を求める「シェアウェア」もるが、ビジネスモデルではなく、ソフトウェアライセンス形態の一つ

・フリーミアム：フリーとプレミアム（割増料金）を合わせた造語。基本的なサービス・製品は無料で提供し、さらに高度な機能や特別な機能については料金を課金する仕組み。サービス・製品に触れる敷居を下げて、新規の顧客が入ってくる間口を広げる最大化戦略を採りつつ、有料戦略を組み合わせて利益を確保しようとするもの

・フリーランス：特定の企業や団体に雇用されるのではなく、業務委託契約などに基づいて個人で仕事を請け負い、報酬を得る働き方を指す

・フリーライド：製品やサービスの恩恵を受けながら、自らは維持や改善のために何も貢献しない便乗行為を指す。特に無償提供されているソフトウェアやサービスの分野で問題視される傾向があり、このようにタダ乗りするユーザーを指して、フリーライダーと呼ぶことがある

・フリーソフト：無料でダウンロードして使うことはできるが、プログラムの改変は許されていない統計解析プログラム"
ストラテジ系,株式総会,"決議を必要とする事項：
・監査役を選任する
・企業合併を決定する
・取締役を選任する

経営者側の判断で行うこと：
・事業戦略の執行"
ストラテジ系,株所有,"・M&A：株式の所有を通じて、他企業を支配またはコントロールすること

・自己株式取得：企業が自ら発行した株式を市場の時価で買い入れること

・TOB（Take Over Bid）：株式の公開買付けのことで買収や子会社化などの目的で市場から株式を集めたいときに、「買付け機関・買取り株数・価格」を公示して不特定多数の株主から株式を集める方法

・MBO（Management Buyout）：企業の経営陣が自社株の買取りを実施し、企業の所有権を取得すること"
ストラテジ系,個人情報保護、、なんだって？,"・個人情報保護方針：プライバシーポリシー/ プライバシーマーク

・個人情報保護規程：

・個人情報保護ガイドライン：運用の考え方・指針

・個人情報保護マニュアル："
ストラテジ系,広告,"・バナー広告
・アフィリエイト：個人のホームページなどに企業の広告やWebサイトへのリンクを掲載し、誘導実績に応じた報酬を支払う

・SEO、検索エンジン最適化、または検索連動型広告。自社のWebサイトを検索エンジンの検索結果の上位に表示させる

・オプトインメール広告：あらかじめ受信者の許可を得て、興味のある分野の広告を電子メールで送る

・オプトアウト広告：ユーザーの承諾なしに送り付けられるメール広告。日本では特定電子メールにより禁止されている

・オーバーレイ広告：Webページや動画のコンテンツ乗に重なるようにして表示される広告。コンテンツの下部などに工程されるアンカー広告、コンテンツ全体と覆うように表示される全画面広告などがある

・レコメンデーション（Recommendation）：顧客の購入履歴や利用履歴などのデータから、その顧客が好みそうな商品やサービスを勧める仕組み。商品販売における関連商品の紹介や、音楽・動画配信サービスにおける""おすすめリスク""が具体例"
テクノロジ系,"e-ビジネス
なりすまし攻撃","・AML（Anti-Money Laundering）：マネーロンダリングを防止するために犯罪収益移転防止法に基づいて金融機関等が実施する、取引時の確認、取引記録の作成・保存、疑わしい取引の届け出などの一連の取り組みのこと

・フィッシング：実際の企業を装ったWebサイトやメールを使ってユーザーを誘い、偽サイトに誘導するなどして個人情報を不正に取得する行為

・ストミング：不正利用や情報窃取を目的として、磁気ストライプカードを不正に読み取る行為。情報が暗号化されて記録されているICカードは、スキミング被害に遭いにくい構造

・インサイダー取引規制：業務等に関する非公開の重要事実を知った役員などの内部関係者が、その情報をを移用して市場で株式や債券の売買を行い、不当な利益を得ることを禁止する金融商品取引法の規制"
テクノロジ系,機器の制御方式,"* `シーケンス制御`：予め定められた順序や条件に従って機器を制御
    * 洗濯機はワンボタンで一連の動作を行う

* `フィードバック制御`：外乱の影響をセンサで検知して測定値を目標値に近づけるようにコンピューターが修正
    * エアコン付けてる中、扉を開けたため`冷気が入ったため`（外乱の影響）、冷気を検知して風量を上げる

* `フィードフォワード制御`：外乱の影響を予測して予め修正
    * 人の動きなどから冷気が入ってくることを予測して`冷気が入る前に対応を`行う"
テクノロジ系,誤差,"1. 桁あふれ誤差：コンピューターが扱える最大値/最小値を超えること
    * `オーバーフロー`
    * `アンダーフロー`
2. 情報落ち：`絶対値`の大きい値と小さい値で足し算/引き算で絶対値の小さい値の計算が反映されないこと
3. 桁落ち：`絶対値が近い数値で差（異符号の足し算）`を求めたときに有効桁数が減ること
    * 例：60.1（60.11）と61.1（61.19）の差は1.00（1.08）
4. 打ち切り誤差：計算処理を途中で打ち切ることで生じる誤差
   * 例：10 / 3 = 3.3333... -> 3.33で表す際ズレが生じる
5. 丸め誤差：`切り上げ`/`切り捨て`/`四捨五入`により生じる誤差
6. 絶対誤差：測定値と理論値との差"
マネジメント系,"・フルバックアップ
・`差分`バックアップ
・`増分`バックアップ","・フルバックアップ：対象となる`データをすべて`バックアップ
・`差分`バックアップ：`フルバックアップ以降`に`変更されたデータ`をバックアップ
・`増分`バックアップ：`直前のバックアップ以降`に`変更されたデータ`をバックアップ"
マネジメント系,"AI
データ検索エンジン関連","・エンタープライズサーチ：インターネットの検索エンジンを利用するのと同じ感覚で、組織内に点在する大量の資料・データ群から目的のものを見つけるため企業内検索エンジン。導入することで、目的のデータにたどり着くまでの時間短縮や、企業が保有するデータの有効活用が期待できる

・コーパス（Corpus）：自然言語処理を実現するための基礎データとなる、電子化された大量の例文データベース

・スキャナー：写真や書類などを光学的に読み取り、デジタルデータ化するための画像入力装置"
マネジメント系,ITIL（v2）,"・サービスサポート：青本。主にITサービス運営における日々の運用の手法について記した書籍で、【インシデント管理】、【問題管理】、【変更管理】、【リリース管理】、【構成管理】および【サービスデスク】で構成されている

・サービスデリバリ：赤本。主に中長期的なITサービスの計画と改善手法について記した書籍で、【サービスレベル管理】、【ITサービス財務管理】、【可用性管理】、【ITサービス継続性管理】、【キャパシティ管理】で構成されている"
マネジメント系,ITIL（v3）,"・サービスストラテジ：【ITサービス財務管理】プロセス（サービスデリバリ）を包含している

・サービスデザイン：【可用性管理】、【キャパシティ管理】、【ITサービス継続性管理】プロセスを包含している

・サービストランジション：【変更管理】、【リリース管理】、【構成管理】プロセスを包含している

・サービスオペレーション：【サービスデスク】、【インシデント管理】、【問題管理】プロセスを包含している

・継続的サービス改善：【サービスレベル管理】プロセスを包含している"
マネジメント系,ITIL（v3）のサービスサポートの5つのプロセス,"・インシデント管理：迅速なサービスの復旧を行い、企業が行う事業活動への影響を最小限に抑えることを目的
インシデントによって中断したITサービスを合意した時間内に復旧する

・問題管理：インシデントや障害原因の追究と対策及び再発防止策の策定を目的としたプロセス
インシデントの根本原因を突き止めて排除したり、インシデントの発生を予防したりする

・構成管理：ITサービスの構成アイテム（CI）情報の精確な収集、確認と収集した情報の維持管理および確認・監査を目的としたプロセス

・変更管理：変更作業に伴うリスクを管理し、リスクとメリットを考慮してリリースを実施するかどうかの評価を行うプロセス
インシデントに対する既存ITサービスの変更や新規サービスの導入を効率的かつ安全に実施する

・リリース管理：変更管理プロセスで承認された内容を本番環境（ITサービス提供媒体）に正しく反映させるための作業（リリース作業）をコントロールすることを目的としたプロセス

・サービスデスク：ITサービスを提供する組織とITサービスを利用する顧客の単一窓口（SPOC)を担い、インシデント対応などのサポート業務を行うことを目的とした機能
利用者に単一窓口を提供し、事業への影響を最小限にし、通常サービスへ復帰できるように支援する"
マネジメント系,ITサービスマネジメントの管理プロセス,"利用者の求めるサービスレベルを満たしているか評価・管理

・SLA(Service Level Agreement)：提供者と顧客の間でサービスの品質に関して結ぶ契約のことで、サービスの品目と水準、および水準を達成できなかった場合のペナルティ事項などが盛り込まれる
・SLM(Service Level Management)：サービスレベル合意書に基づき、顧客要件を満たすITサービスの提供を実現し、その品質の継続的な改善に必要なプロセスを構築するという管理手法や考え方"
マネジメント系,PDCAサイクル,"立ち上げ
Plan、Do、Check、Act：`企画、実行、点検、改善`
終結"
マネジメント系,RASIS,"* 信頼性（Reliability）：システムが安定して稼働し続けられること、故障しにくいこと（`MTBF`（`システムが稼働していた時間` / `故障した回数`）で評価）
* 可用性（Availability）：使いたい時にいつでも使えること（`稼働率`で評価）

* 保守性（Serviceability）：故障した時に早く普及できること（`MTTR`で評価）
* 保全性/完全性/インテグリティ（Integrity）：データが欠損なく正しく保存されていること
* 安全性（Security）：高いセキュリティを維持できること"
マネジメント系,イノベータ理論,"消費者を新しい商品に対する購入の早い順から5つのタイプに分類したもの

・イノベータ：Innovators、革新。新商品、サービスなどを、リスクを恐れず最も早い段階で需要する層

・アーリーアダプタ：Early Adopters、初期採用者。新商品、サービスなどを早期に受け入れ、消費者に大きな影響を与える層であり、流行に敏感で、自ら情報収集を行い判断する層。オピニオンリーダー

・アーリーマジョリティ：Early Majority、前期追随者。比較的慎重派な人。ブリッジピープル

・レイトマジョリティ：Late Majority、後期追跡者。新しい製品及び新技術の採用には懐疑的で、周囲の大多数が採用している場面を見てから採用する層。フォロワーズ

・ラガード：Laggards、遅滞者。世の中の動きに関心が薄く、流行が一般化してからそれを採用することが多い層であり、場合によっては不採用を貫く、最も保守的な層。伝統主義者"
マネジメント系,インシデント及びサービス要求管理,"1. 記録
2. 優先度の割り当て
3. 分類
4. 記録の更新
5. 段階的取り扱い
6. 解決
7. 終了"
マネジメント系,ウォーターフォールモデル,"要求定義、外部設計（概要設計）、内部設計（詳細設計）、開発（プログラミング）、テスト、運用
※ 下流工程（左）のほど修復コストが安くなる"
マネジメント系,エンジニアリングシステム,"・フレキシブル生産方式：セル生産方式を導入し、市場の多様なニーズに合わせた製品を提供する

・M＆A：他企業の買収によって、自社がもっていなかった製品を提供する

・バリューエンジニアリング：価値 = 機能 / コスト。自社製品に新しい機能を付加し、他社製品と差別した製品を提供する

・リバースエンジニアリング：既存のプログラムから、そのプログラムの仕様を導き出す

・コンカレントエンジニアリング：コンカレント：並行、同時に（発生）。主に製造業において、設計から生産に至るまでの各プロセスを同時並行的に行うことで、開発期間や納期の短縮および生産コストの削減を図る手法

・インダストリアルエンジニアリング：インダストリアル：生産工学。分析や統計など科学的な方法を用いることで生産現場やサービスにおいて最も効率的なシステムを考える手法

・CSR：原材料の使用量を減らすとともに、消費電力を少なくした製品を提供する"
マネジメント系,エンジニアリングシステム,"・JI（Just In Time）：ジャストタイム、かんばん式。
トヨタ自動車の生産方式の代表的な要素で、必要な物を、必要なときに、必要な量だけ生産することを意味する。在庫の無駄をなくし生産を最適化する目的がある

・セル生産方式：1人または数人のチームが、製品の組み立て工程を完成まで作業を行う

・受注生産方式：顧客からの注文を受けてから、生産を開始する方式
・見込み生産方式：生産開始時の計画に基づき、見込み数量を生産する方式

・個別生産：受注した注文ごとに仕様や製造計画・納期を設定し製品を生産する方式
・ロット生産：同じ製品をロットと呼ばれる単位で生産する方式。一度に大量に生産することで製品1つあたりに要する段取り時間を少なく出来る
・連続生産：`止まらずに生産する`。ライン生産方式とも呼ばれ、大量生産を行う工場で製品の組み立て工程、作業員の配置を一連化（ライン化）させ、ベルトコンベアなどによりン流れてくる機械に部品の取り付けや小加工を連続的に行う生産方式
・プロセス生産：食品/飲料、化学製品、医薬品、石油、素材などのように、液体やガスなどの原材料を加工することで製品価値を生み出す方式"
マネジメント系,システムコスト,"・TCO：総所有費用/総所有コスト。システム導入から運用及び維持・管理までを含めた費用の総額

・イニシャルコスト：ハードウェア購入・設置費用、パッケージソフトの購入費用・開発費、初期教育費など、主に開発・導入に関わる費用

・ランニングコスト：保守・サポート契約費、ライセンス料、運用人件費、消耗品費など。通信・ネットワークに関わるシステムの運用費用の総額"
マネジメント系,システムの重要性,"・ミッションクリティカルシステム：障害が起きると、企業活動に重大な影響を及ぼすシステム

・パイロットシステム：先行して試験導入され、成功すると本格的に導入されるシステム"
マネジメント系,システムの信頼性設計,"* Fault：故障
* Avoidance：回避
* Tolerance：許容範囲

・`フォールトアボイダンス`（Fault Avoidance）：そもそも`故障を起こさない`ように設計

・フォールトトレランス：システム障害が発生したとき、待機しているシステムに切り替えて処理を続行する

・フェールセーフ（Fail Safe）：故障した時は`安全を優先させる`（信号機が故障しても赤信号のままに維持してもらう）

・フェールソフト：故障した時でも機能を低下させ`継続することを優先`（エアコンが故障してもオンオフだけは操作できる）

・フールプルーフ（Fool Proof）：人間が間違った操作をしても、誤作動を起こさないようにする（扉を閉めないと電子レンジは加熱できない）

・エラープルーフ化：人的な作業ミスが発生しやすい作業手順や機器のインタフェースを見直し、ミスが発生しにくい仕組みに改善すること。重要なポイントは人に施す対策ではなく、システム、機器、書類、手順などの人以外の要素を人に合うように改善する"
マネジメント系,"システム管理基準
ライフサイクル",企画、開発、運用、保守
マネジメント系,システム管理基準、ユーザー受入テストの管理,"1. 要件定義に基づき、ユーザーの目線でテストケースを策定すること
2. ユーザー受入テスト環境を明確にすること
3. ユーザー受入テスト環境は本番環境と隔離すること
4. ユーザー及び運用担当者がテストに参加すること
5. テスト手法、進捗、結果に対する目標値、及び報告方法を明確にすること
6. パッケージソフトを使用する場合は、開発元による品質テストの結果を確認すること
7. ユーザー受入テストに関わる情報セキュリティ管理策については、情報セキュリティ管理基準参照表を利用して、情報セキュリティ管理基準の該当箇所を参照すること"
マネジメント系,チェック,"・ニューメリックチェック（Numeric Check）：数値項目へ入力したデータに、英字や記号が混入した誤りを検出

・フォーマットチェック：入力したコードの桁数の誤りを検出する

・チェックディジット：check digit、検査数字。入力したコードの値の誤りを検出する

・リミットチェック：入力したデータ値が、定められた範囲内に収まっていない誤りを検出する

・論理チェック：販売数と在庫数と仕入れ数の関係など、関連のある項目の値に矛盾が無いかどうかをチェックする

・重複チェック：マスタファイル作成時の入力データ中に、キーの値が同じレコードが複数件含まれていないかどうかをチェックする"
マネジメント系,データベースログ,"・ログファイル：ジャーナルファイル/トランザクションログ。データベースを変更が行われた以前の状態に復元することを目的としたトランザクション処理の記録
・データログ：人間が読みやすい形で時系列に記録される操作履歴"
マネジメント系,データベース操作,"・ウォームスタート：システム障害が発生した時に、システムの電源をOFFにせずに、そのままの状態でプログラムを再起動して処理を再開する方法

・ロールフォワード：システム障害などでアプリケーションが強制終了したときに、更新後ログを用いて今まで処理したトランザクションを再現しシステム障害直前までデータベース情報を復帰させる処理

・チェックポイントリスタート：トランザクション障害やシステム障害から復帰するときに、直前のチェックポイント（データベース処理とディスク内容の同期ポイント）まで戻ってから再開する方法

・コールドスタート：初期プログラムロード。システム障害が発生したとき、システムの電源を入れ直し、システムを初期状態に戻してからプログラムを起動して処理を再開する方法

・ロールバック：トランザクションお途中、プログラムのバグなどでアプリケーションが強制終了した場合、更新前ログを用いてデータベースをトランザクション開始直前の状態に戻す処理

・フォールバック：（fall back）縮退運転。故障した構成品目を切り離し、システムのより重要な機能を存続させること

・バックアップ：障害時のファイルの回復を目的として、定期的にファイルを別の記録媒体に保存すること

・リストア：バックアップされたデータを使用してデータを復旧・回復すること

・リスタート：チェックポイントで記録しておいたデータを使用して、プログラムの実行を再開すること

・リブート：システム障害などから回復するためにマシンを再起動すること

・パーティショニング：実行中のジョブが異常終了したとき、他のジョブに影響を与えないように、システムの運用を続行すること

・リカバリージョブ：障害が発生した時点で、その後に実行する予定のジョブのスケジュールを変更すること

・グレースフルシャットダウン：システムを一斉に停止させるのではなく、あらかじめ決められた手順で段階的に停止させること"
マネジメント系,"プログラミングの信頼性の監査
（旧システム監査基準）","・プログラム仕様書に基づいてプログラミングしれいることを検証しているか
・プログラムテストの結果を記録及び保管しているか
・重要プログラムは、プログラム作成者以外の者がテストしているか"
マネジメント系,プロジェクトにおけるコミュニケーション,"1. プル型コミュニケーション：掲示板やe-ラーニングなどのように受信者が自分の意思で必要になったときに情報にアクセスさせる方法（イントラネットサイト）
2. プッシュ型コミュニケーション：電子メールや手紙、FAXなどのように特定の相手に向けて情報を発信する方法
3. 相互方向コミュニケーション：会議やテレビ電話などのように複数の参加者がそれぞれの参加者同士で情報をやり取りできる方法"
マネジメント系,プロジェクトのコスト,"・ファクションポイント法：外部入出力と内部ファイル数などの個数と開発難易度からファクションポイントを求め、それを基に開発規模を見積もる手法

・COCOMO：予想されるプログラム行数にエンジニアの能力や要求の信頼性などの補正係数を掛け合わせて開発工数や期間、要員や生産性を見積もる手法

・標準タスク：開発プロジェクトで必要な作業のWBSを作成し、各作業の工数を見積もる

・類推見積法：過去の類似例を探し、その実績や開発するシステムとの差異などを分析・評価して開発規模を見積もる

・プログラムステップ法：開発するプログラムごとのステップ数を積算し、開発規模を見積もる

・putnamモデル：総開発工数から、それを分解した各開発工程の工数を推定するトップダウン式の手法

・Dotyモデル：ソフトウェア開発の工数は、プログラムのステップ数の指数乗に比例するという考え方で開発工数を見積もる手法"
